,유형,component,name,description,parameter,return,exception,sample,built since,built last
2652,method,WebSquare.uiplugin.gridView,redrawColumn,col에 해당하는 열을 다시 그림. (Reset.),"colIndex	String||Number	Y	컬럼의 id 또는 index
valid	Boolean	N	[default:true, false] inputType=""select""인 경우 selectbox와 cell의 value의 적합성에 따라 데이터를 처리 유무.",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2653,method,WebSquare.uiplugin.gridView,refreshCell,해당 인덱스의 cell을 다시 렌더링.,"rowIndex	Number	Y	행의 index
colIndex	Number	Y	컬럼의 index",	,,,5.0_2.2692B.20170707.165017,5.0_5.4811B.20230203.095105
2654,method,WebSquare.uiplugin.gridView,refreshColumn,해당 인덱스의 column을 다시 렌더링.,colIndex	Number	Y	컬럼의 index,	,,,5.0_2.2692B.20170707.165017,5.0_5.4811B.20230203.095105
2655,method,WebSquare.uiplugin.gridView,refreshColumnItemset,inputType이 select인 경우에만 동작하며 col에 해당하는 컬럼의 itemset을 갱신.,col	String	Y	갱신할 column의 id 또는 index,	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2656,method,WebSquare.uiplugin.gridView,refreshRow,해당 인덱스의 row를 다시 렌더링.,rowIndex	Number	Y	행의 index,	,,,5.0_2.2692B.20170707.165017,5.0_5.4811B.20230203.095105
2657,method,WebSquare.uiplugin.gridView,removeCellClass,grid 셀에 적용된 사용자 class를 삭제,"rowIndex	Number	Y	셀의 행번호
colIndex	Number	Y	셀의 열번호 혹은 컬럼 아이디",	,,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2658,method,WebSquare.uiplugin.gridView,removeColumnClass,"column에 동적으로 적용된 사용자 class를 삭제. 복수 클래스 지정시 띄어쓰기("" "")를 구분자로 사용. <br />복수 클래스 지정 시 순서와 상관없이 동일하게 동작한다.",colIndex	Number	Y	컬럼의 열번호 또는 컬럼 아이디,	,,"<xmp  class='js sample'> gridView1.removeColumnClass(""col1"", ""cRed""); // col1 열에 적용되었던 cRed 클래스를 삭제
 gridView1.removeColumnClass(""col1"", ""cBlue cRed""); // col1 열에 적용되었던 cBlue 및 cRed 클래스를 삭제.</xmp>",5.0_5.4752A.20221027.110931,5.0_5.4811B.20230203.095105
2659,method,WebSquare.uiplugin.gridView,removeFocusedCell,셀에 적용 된 모든 포커스(선택되어있는 셀)를 제거.,,	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2660,method,WebSquare.uiplugin.gridView,removeFocusedMultiCell,직사각형 영역만큼 cell의 focus를 해제.,"startRow	Number	Y	해제할 포커스영역 시작지점의 row값. 즉, 포커스 해제영역 왼쪽 최상단 셀의 rowIndex.
startCol	Number	Y	해제할 포커스영역 시작지점의 column값. 즉, 포커스 해제영역 왼쪽 최상단 셀의 colIndex
endRow	Number	Y	해제할 포커스영역 종료지점의 row값. 즉, 포커스 해제영역 우측 최하단 셀의 rowIndex
endCol	Number	Y	해제할 포커스영역 종료지점 column값. 즉, 포커스 해제영역 우측 최하단 셀의 colIndex",	,,"<xmp  class='js sample'> gridView1.removeFocusedMultiCell(3,2,4,3);
 // 실행결과 : (3,2), (3,3), (4,2), (4,3)셀의 포커스가 해제됨. 
// 포커스가 걸려있지 않았던 셀은 아무 동작을 하지 않음.</xmp>",5.0_1.2722A.20170731.103905,5.0_5.4811B.20230203.095105
2661,method,WebSquare.uiplugin.gridView,removeHeaderClass,grid Header 셀에 적용된 사용자 class를 삭제.,"headerId	Number	Y	header cell의 id
삭제할	String	Y	class",	,,,5.0_2.3183B.20180704.104623,5.0_5.4811B.20230203.095105
2662,method,WebSquare.uiplugin.gridView,saveCSV,데이터를 CSV 파일로 저장. (JDK 1.5이상에서 사용 가능),"options	JSON	Y	JSON형태로 저장된 그리드의 csv 다운로드 옵션<br />
다운로드 정보 관련 옵션
<xmp class='js description'><String:N>  options.fileName      [default: csvfile.csv] 엑셀파일 선택 대화상자가 나타날 때 기본으로 지정 될 파일 이름
<String:N>  options.delim         [default: ';'] CSV 파일에서 데이터를 구분할 구분자</xmp>
다운로드 데이터 관련 옵션
<xmp class='js description'><String:N>  options.type          [default: 1, 0] 사용할 데이터. GridView 컬럼의 inputType이 SelectBox, AutoComplete, 혹은 CheckComboBox인 경우 해당. 0: value 값 사용. 1: label 값 사용. 2: 해당 컬럼의 displayMode 설정에 따라 ""value delim label"" 혹은 ""label delim value"" 값을 사용.
<String:N>  options.removeColumns [default: 없음] 저장 하지 않을 columns index, 여러컬럼인 경우 콤마(,)로 구분해서 정의.
<String:N>  options.header        [default: 1, 0] Grid의 숨겨진 Column에 대한 저장 여부(0이면 저장 하지 않음,1이면 저장)
<Number:N>  options.hidden        [default: 0, 1] Grid의 숨겨진 Column에 대한 저장 여부(0이면 저장 하지 않음,1이면 저장)
<String:N>  options.checkButton   [default: 1, 0] Grid의 Control(Check, Radio, Button) Column에 대해 히든 여부 (0이면 control Coliumn히든,1이면 보여줌)
<Array:N>  options.saveList       [default: 없음] hidden에 관계없이 최우선순위로 저장할 column id들의 array
<String:N>  options.aposPrefixOnNum  [default: 0, 1] dataType이 number이고 length가 12자리이상인 경우 '(apos)를 붙일지 여부 (0 이면 apos를 붙이지않음, 1이면 붙임)
<String:N>  options.removeQuotation  [default: 0, 1] value에 "", ' 가 들어있는 경우 "", '를 지울지 여부 (0이면 지원지 않음, 1이면 지움)
<String:N>  options.removeNewLine  [default: 1, 0] value내에 \r\n이 있을 경우 삭제 유무 (0이면 지원지 않음, 1이면 지움)</xmp>
컬럼 이동 관련 옵션
<xmp class='js description'><String:N>  options.columnMove    [default: false] 그리드 컬럼이동시 이동된 상태로 다운로드 유무 ( ""true""인경우 컬럼이동 순서대로 출력 )
<String:N>  options.columnOrder   [default: 없음] csv 다운로드시 다운로드되는 컬럼 순서를 지정 할 수 있는 속성 ( ex) ""0,3,2,1""로 지정시 지정한 순서로 다운로드됨.)</xmp>
드릴다운 및 병합 관련 옵션
<xmp class='js description'><String:N>  options.spanAll       [default: false] drilldown gridView인 경우 전체목록을 펼쳐서 다운로드 할 수 있는 속성. (true이면 전체출력, false면 보여지는 목록만 출력)
<String:N>  options.ignoreSpan    [default: 0, 1] span되어 있는 경우 span을 무시하고 데이터를 채울지 여부. (0이면 저장하지 않음, 1이면 저장)</xmp>
기타 옵션
<xmp class='js description'><String:N>  options.optionParam   [default: 없음] DRM 연계시 사용자 정의 class에 HashMap 인자로 전달할 값. key는 ""optionParam""으로 참조.</xmp>",	,,"<xmp  class='js sample'>//저장 할 컬럼 정의
var colArr = [];
colArr[0] = ""name"";
colArr[1] = ""corp"";

//저장 옵션
var options = {
  fileName:           ""saveCSV.csv"",
  type:               ""1"", 
  delim:              "";"",
  saveList:           colArr
};
gridView1.saveCSV(options);

//별도의 옵션이 없을 경우 빈 객체를 파라메터로 넘겨줘야 한다.
gridView1.saveCSV({});</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2663,method,WebSquare.uiplugin.gridView,setAutoFit,"autoFit 속성을 적용. <br />그리드의 사이즈에 맞게 컬럼의 크기를 변경하여 꽉차게 그림. <br />autoFit=""lastColumn""인 경우 마지막 컬럼의 폭만 변경이 되고, ""allColumn""이면 전체 컬럼을 폭을 균일하게 변경.","options	Object	N	JSON형태로 저장된 그리드의 setAutoFit 옵션<br />
<xmp class='js description'><String:N>  options.type : autoFit옵션 값(lastColumn일 경우 마지막 컬럼의 폭만 변경, allcolumn일 경우 전체 컬럼의 폭을 균일하게 변경)
<Number:N>  options.minWidth : 그리드의 최소 넓이의 px값 (lastColumn일때는 적용되지 않음)</xmp>",	,,"<xmp  class='js sample'>var options = {
    type : ""allColumn"",
    minWidth : 480
}       
gridView1.setAutoFit( options );
gridView의 width가 480px보다 작아질 경우에는 각 컬럼의 width의 함은 480px로 고정되며, 480px에 맞게 각 컬럼 width가 변경. 
gridView의 width가 480px보다 큰 경우는 gridView의 width에 맞게 각 컬럼 width가 변경.</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2664,method,WebSquare.uiplugin.gridView,setBlockSelect,그리드의 컬럼의 blockSelect 값을 설정.,"colIndex	Number||String	Y	컬럼의 index 또는 id
flag	number	Y	컬럼에 적용할 값",	,,"<xmp  class='js sample'>// 사용 예
gridView1.setBlockSelect(""a"", true); // id가 ""a""인 컬럼에 blockSelect를 true로 변경</xmp>",5.0_4.4755A.20221027.113344,5.0_5.4811B.20230203.095105
2665,method,WebSquare.uiplugin.gridView,setBottomRowIndex,화면에 보여지는 gridView 영역에 bottomRowIndex 해당하는 row가 최하단에 위치하도록 조정.<br />세로 스크롤 위치를 이동.,bottomRowIndex	Number	Y	최하단에 위치할 rowIndex,	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2666,method,WebSquare.uiplugin.gridView,setCaption,gridView의 HTML caption 속성의 값을 설정.(gridView는 table로 구성됨.),htmlStr	String	Y	caption의 값으로 순수 텍스트이외 HTML Tag을 조합 한 문자열도 가능,	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2667,method,WebSquare.uiplugin.gridView,setCaptionAuto,"captionTitle 값을 표 제목으로 설정. 
<xmp  class='js sample'>(관련 속성)
 captionTitle
 captionAuto</xmp>",captionTitle	String	N	captionTitle 속성에 신규로 적용할 값,	,,"<xmp  class='js sample'>// 사용 예
gridView1.setCaptionAuto(""new title"");</xmp>",5.0_1.2553B.20170314.104636,5.0_5.4811B.20230203.095105
2668,method,WebSquare.uiplugin.gridView,setCellAllowChar,"특정 cell의 allowChar 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
allowChar	String	Y	변경하려는 allowChar 속성",	,inputType이 custom이고 allowChar 속성이 존재하는 inputType 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2669,method,WebSquare.uiplugin.gridView,setCellBackgroundColor,rowIndex와 colIndex에 해당하는 셀의 배경색을 설정.,"rowIndex	Number	Y	배경색을 설정할 행 index
colIndex	Number||String	Y	배경색을 설정할 열 index 또는 id
color	String	Y	배경색으로 설정할 색",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2670,method,WebSquare.uiplugin.gridView,setCellChecked,"inputType=""checkbox"" 혹은 ""radio""인 경우, 해당 셀을 선택하거나 선택 해제.","rowIndex	Number	Y	셀의 행의 index
colIndex	String||Number	Y	셀의 열의 id 또는 index
flag	Boolean	Y	[true,false]셀의 체크 여부",	,dataValue가 boolean타입이 아니거나 셀의 타입이 체크박스나 라디오가 아닌경우 경고 문구,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2671,method,WebSquare.uiplugin.gridView,setCellClass,grid 셀에 동적으로 사용자 class를 적용,"rowIndex	Number	Y	셀의 행번호
colIndex	Number	Y	셀의 열번호 혹은 컬럼 아이디
className	String	Y	td에 적용할 class의 이름",	,,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2672,method,WebSquare.uiplugin.gridView,setCellColor,rowIndex와 colIndex에 해당하는 셀의 글자색을 설정.,"rowIndex	Number	Y	글자색을 설정할 행 index
colIndex	Number||String	Y	글자색을 설정할 열 index 또는 id
color	String	Y	글자색으로 설정할 색",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2673,method,WebSquare.uiplugin.gridView,setCellCustomFormatter,"특정 cell의 customFormatter 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
formatter	String	Y	변경하려는 customFormatter 함수 이름",	,inputType이 custom이고 customFormatter 속성이 존재하는 inputType 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2674,method,WebSquare.uiplugin.gridView,setCellDataType,"특정 cell의 dataType 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
dataType	String	Y	변경하려는 dataType 속성",	,inputType이 custom이고 dataType 속성이 존재하는 inputType 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2675,method,WebSquare.uiplugin.gridView,setCellDisableEdit,"inputType이 custom인 셀이 autoComplete인 경우 disableEdit 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
onoff	String	Y	disableEdit 속성",	,inputType이 custom이고 autoComplete인 경우인 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2676,method,WebSquare.uiplugin.gridView,setCellDisabled,colIndex와 rowIndex에 해당하는 셀의 disabled속성 값을 설정.,"rowIndex	Number	Y	disabled 속성을 설정할 행 번호
colIndex	Number||String	Y	disabled 속성을 설정할 열 index 또는 id
disabled	Boolean	Y	[true,false]disabled 속성에 적용할 값",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2677,method,WebSquare.uiplugin.gridView,setCellDisplayFormat,"특정 cell의 displayFormat 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
displayFormat	String	Y	변경하려는 displayFormat 속성",	,inputType이 custom이고 displayFormat 속성이 존재하는 inputType 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2678,method,WebSquare.uiplugin.gridView,setCellDisplayFormatter,"특정 cell의 displayFormatter 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
formatter	String	Y	변경하려는 displayFormatter 함수 이름",	,inputType이 custom이고 displayFormatter 속성이 존재하는 inputType 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2679,method,WebSquare.uiplugin.gridView,setCellInputType,"rowIndex와 colIndex에 해당하는 셀의 inputType을 변경. <br />inputType=""custom""일 경우 사용. <br />gridView 속성에  setCellInputTypeCustom=""true"" 설정을 추가해야 동작.","rowIndex	Number	Y	셀의 행 번호
colIndex	String	Y	셀의 컬럼 번호 혹은 컬럼의 아이디
info	Object	Y	JSON형태로 저장된 inputType에 대한 정보<br />
<xmp class='js description'><String:N>  info.id                 : cell id
<String:Y>  info.inputType          : 지정할 inputType
<String:N>  info.options            : inputType에 대한 옵션
<String:N>  info.itemSet            : nodeset정보를 담은 객체
<String:N>  info.itemSet.nodeset    : DataList의 id. ""data:""로 시작해야 함.
<String:N>  info.itemSet.label      : label로 지정할 컬럼의 ID.
<String:N>  info.itemSet.value      : value로 지정할 컬럼의 ID.</xmp>",	,,"<xmp  class='js sample'>var info = {
    inputType : ""select"",
    options : {
        selectedData : false,
        viewType: ""icon"",
        chooseOption: true
    },
    itemSet : {
        nodeset: ""data:dataList1"", 
        label: ""label"",
        value: ""value""
    }
}
gridView1.setCellInputType(0, ""a"", info); // 첫 번째 row, ""a"" column에 해당하는 cell의 inputType을 select로 변경.</xmp>",5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2680,method,WebSquare.uiplugin.gridView,setCellMaxLength,"특정 cell의 maxLength 속성을 변경. (inputType=""custom""일 경우에만 동작.)
<xmp  class='js sample'>(관련 속성)
 setCellInputTypeCustom=""true""인 경우에만 유효.</xmp>","rowIndex	Number	Y	변경하려는 셀의 index
colIndex	Number	Y	변경하려는 컬럼의 index
maxLength	Number||String	Y	변경하려는 maxLength 속성",	,inputType이 custom이고 maxlength 속성이 존재하는 inputType 셀만 적용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2681,method,WebSquare.uiplugin.gridView,setCellReadOnly,colIndex와 rowIndex에 해당하는 셀의 readonly속성 값을 설정.,"rowIndex	Number	Y	readonly 속성을 설정할 행 index
colIndex	Number||String	Y	readonly 속성을 설정할 열 index 또는 id
readOnly	Boolean	Y	[true,false]readonly 속성에 적용할 값",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2682,method,WebSquare.uiplugin.gridView,setColumnBackgroundColor,colIndex에 해당하는 열의 배경색을 일괄 설정.,"colIndex	Number||String	Y	배경색을 설정할 열 index 또는 id
color	String	Y	배경색으로 설정할 색",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2683,method,WebSquare.uiplugin.gridView,setColumnChooseOption,"gridView column의 inputType이 select인 경우, selectBox의 chooseOption 속성의 value 및 label 값을 변경.","colIndex	Number	Y	gridView 컬럼의 인덱스
chooseOptionValue	String	Y	새로 지정할 chooseOption의 value 값
chooseOptionLabel	String	Y	새로 지정할 chooseOption의 label 값",	,,"<xmp  class='js sample'>
 gridView1.setColumnChooseOption(1,"""",""-선택-"");
</xmp>",5.0_1.1838A.20150728.102303,5.0_5.4811B.20230203.095105
2684,method,WebSquare.uiplugin.gridView,setColumnClass,"column에 동적으로 사용자 class를 추가. 복수 클래스 지정시 띄어쓰기("" "")를 구분자로 사용.","colIndex	Number	Y	컬럼의 열번호 또는 컬럼 아이디
className	String	Y	컬럼에 적용할 class의 이름",	,,"<xmp  class='js sample'> gridView1.setColumnClass(""col1"", ""cRed""); // col1 열에 cRed 클래스를 적용
 gridView1.setColumnClass(""col1"", ""cRed cBlue""); // col1 열에 cRed 및 cBlue 클래스를 적용</xmp>",5.0_5.4752A.20221027.110931,5.0_5.4811B.20230203.095105
2685,method,WebSquare.uiplugin.gridView,setColumnColor,colIndex에 해당하는 열의 글자색을 일괄 설정.,"colIndex	Number||String	Y	글자색을 설정할 열 index 또는 id
color	String	Y	글자색으로 설정할 색",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2686,method,WebSquare.uiplugin.gridView,setColumnDisableEdit,inputType이 autoComplete인 경우 column의 disableEdit 속성을 변경.,"rowIndex	Number	Y	변경하려는 셀의 index
onoff	String	Y	disableEdit 속성",	,inputType이 custom인 cell은 setCellDisableEdit 사용,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2687,method,WebSquare.uiplugin.gridView,setColumnDisabled,colIndex에 해당하는 열에 disabled속성을 일괄 설정.,"colIndex	Number||String	Y	disabled속성을 설정할 열 index 또는 id
disabled	Boolean	Y	[true, false]disabled속성에 적용할 값",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2688,method,WebSquare.uiplugin.gridView,setColumnDisplayFormat,컬럼의 displayFormat속성을 설정한다. 기존의 setDisplayFormat을 대체한 API.<br />displayFormat의 경우 dataList에 정의 된 컬럼의 dataType 속성에 따라 적용 범위가 다르므로 확인하여 적용해야함.,"colIndex	Number||String	Y	컬럼의 index 또는 id
displayFormat	String	Y	컬럼에 적용할 displayFormat",	,,"<xmp  class='js sample'>// 생년월일 컬럼의 id가 birthday로 정의된 gridView가 있고,
// dataList의 birthday 컬럼의 dataType 속성은 date로 정의한 경우

// 생년월일 컬럼의 displayFormat을 dd-MM yyyy 변경.
gridView1.setDisplayFormat(""birthday"",""dd-MM yyyy"");
// (표시 예) ""19831231""의 데이터가 ""31-12 1983""으로 표시됨.</xmp>",5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2689,method,WebSquare.uiplugin.gridView,setColumnDisplayFormatter,컬럼의 displayFormatter 속성을 설정. <br />기존의 setDisplayFormatter를 대체한 API.,"colIndex	Number||String	Y	컬럼의 index 또는 id
displayFormatter	String	Y	displayFormatter 속성에 적용할 Function 명",	,,,5.0_2.2964B.20180202.163500,5.0_5.4811B.20230203.095105
2690,method,WebSquare.uiplugin.gridView,setColumnEnableColumn,"지정한 GridView 컬럼이 선택 목록을 표시하는 경우, 일부 선택 목록을 disable 처리할 수 있는 기능. <br />해당 GridView 컬럼의 inputType이 select, autoComplete, checkcombobox인 경우에만 해당. <br />Select, AutoComplete, CheckComboBox 컴포넌트의 setEnableColumn 함수를 실행하는 것과 같은 효과. <br />(각 컴포넌트의 enableColumn, enableColumnFalseValue, setEnableColumn API 참조.)","gridColumnId	Number||String	Y	gridView 컬럼의 인덱스 혹은 ID.
enableColumnId	String	Y	해당 컬럼(enableColumnId)과 바인딩된 데이터 리스트의 컬럼 ID. (disable 여부에 대한 데이터를 갖고 있는 컬럼.)
enableColumnFalseValue	String	N	disable 조건에 해당하는 값.",	,,"<xmp  class='js sample'>// column1의 inputType은 select, autoComplete, checkcombobox 중 하나이다.
// column1의 목록 데이터는 dataList1과 바인딩 되어 있고, dataList1은 ""label, value, type"" 3개의 컬럼으로 이루어져 있다. 
// label, value는 column1의 목록 label, value와 대응되며, type 컬럼이 disable 정보를 담고 있다.
// 아래를 실행. 

gridView1.setColumnVisibleColumn(""column1"", ""Type"", false);

// 실행 결과: dataList1의 type값이 false에 해당하는 목록은 disable 처리되어 선택이 되지 않게 된다.
//</xmp>",5.0_4.4755A.20221027.113344,5.0_5.4811B.20230203.095105
2691,method,WebSquare.uiplugin.gridView,setColumnGridItemset,"inputType = ""select""이고 gridViewItemset을 사용하는 경우 gridViewItemset을 동적으로 변경한다.","colIndex	Number||String	Y	column의 index 또는 id
obj	JSON||XML	Y	새로 구성할 gridViewItemset에 대한 정보를 담은 객체. JSON객체 또는 XML객체여야 한다.<br />
<xmp class='js description'><String> obj.nodeset : 새로 설정할 dataList의 id. 앞에 ""data:"" prefix를 붙여야 한다.
<String> obj.label : label로 지정할 column의 id
<String> obj.value : value로 지정할 column의 id
<Number> obj.width : 새로 설정할 gridViewItemset의 가로 길이.
<Number> obj.height : 새로 설정할 gridViewItemset의 세로 길이.
<Array> obj.item : 새로 설정할 각각의 컬럼별 설정을 JSON Array 형식으로 전달한다.</xmp>",	,,"<xmp  class='js sample'>var obj = {
""nodeset"" : ""data:dataList2"",
""label"" : ""col1"",
""value"" : ""col2"",
""width"" : 400,
""height"" : 300, 
""item"" : [{""ref"" : ""col1"", ""header"" : ""label""},{""ref"" : ""col2"", ""header"" : ""value""},{""ref"" : ""col3"", ""header"" : ""dummy""}]
};
gridView1.setColumnGridItemset(""col1"", obj);</xmp>",5.0_2.3428B.20181228.174633,5.0_5.4811B.20230203.095105
2692,method,WebSquare.uiplugin.gridView,setColumnIoFormat,컬럼의 ioFormat 속성을 설정. <br />dataType이 date인 경우에만 동작.,"colIndex	Number||String	Y	컬럼의 index 또는 id
ioFormat	String	Y	새로 설정할 ioFormat
dateMast	String	N	새로 설정할 dateMask(displayFormat)",	,,,5.0_2.3002A.20180330.154615,5.0_5.4811B.20230203.095105
2693,method,WebSquare.uiplugin.gridView,setColumnNodeSet,"itemset을 설정할 수 있는 컬럼의 nodeset을 설정. <br />(select, autoComplete, checkcombobox 세 개의 inputType만 지원)","colIndex	Number	Y	nodeset을 설정할 column의 index 또는 id
nodeset	String	N	변경하려는 nodeset값으로 ""data:""라는 prefix 뒤에 dataList id를 정의.
label	String	N	변경하려는 label로 dataList의 컬럼 id
value	String	N	변경하려는 value로 dataList의 컬럼 id",	,,,5.0_1.2553B.20170314.104636,5.0_5.4811B.20230203.095105
2694,method,WebSquare.uiplugin.gridView,setColumnOrder,주어진 array를 기준으로 컬럼 순서를 재설정하며 파라메터에 정의되지 않은 컬럼은 파라메터 컬럼 뒤쪽으로 위치함.,columnOrderArray	Array	Y	컬럼의 순서를 차례로 담은 배열(컬럼 index와 id 모두 사용 가능),	,,"<xmp  class='js sample'>//이름, 성별, 나이, 생년월일이 정의 된 gridView가 정의되어 있고,
// 각 body 컬럼의 id가 name, gender, age, birthday 인 경우

//나이 컬럼과 성별 컬럼의 위치를 변경.
gridView1.setColumnOrder([""age"",""gender""]);
//API 실행 후의 컬럼 순서는 나이, 성별, 이름, 생년월일 이 된다.</xmp>",5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2695,method,WebSquare.uiplugin.gridView,setColumnReadOnly,colIndex에 해당하는 열에 readonly 속성을 설정.,"colIndex	Number||String	Y	readonly속성을 설정할 열 index 또는 id
readOnly	Boolean	Y	[true, false]readonly속성에 적용할 값",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2696,method,WebSquare.uiplugin.gridView,setColumnVisible,column의 hidden 여부를 설정.,"colIndex	Number||String	Y	hidden 여부를 설정한 column의 index 또는 id
colVisibleFlag	Boolean	Y	[true, flase]visible 여부<br />
<xmp class='js description'> ""true"" : 해당 column을 표시.
 ""false"" : 숨김.</xmp>",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2697,method,WebSquare.uiplugin.gridView,setColumnVisibleColumn,"지정한 GridView 컬럼이 선택 목록을 표시하는 경우, 일부 선택 목록을 숨길 수 있는 기능. <br />해당 GridView 컬럼의 inputType이 select, autoComplete, checkcombobox인 경우에만 해당. <br />Select, AutoComplete, CheckComboBox 컴포넌트의 setVisibleColumn 함수를 실행하는 것과 같은 효과. <br />(각 컴포넌트의 visibleColumn, visibleColumnFalseValue, setVisibleColumn API 참조.)","gridColumnId	Number||String	Y	gridView 컬럼의 인덱스 혹은 ID.
visibleColumnId	String	Y	해당 컬럼(visibleColumnId)과 바인딩된 데이터 리스트의 컬럼 ID. (숨기기 여부에 대한 데이터를 갖고 있는 컬럼.)
visibleColumnFalseValue	String	N	숨기기 조건에 해당하는 값.",	,,"<xmp  class='js sample'>// column1의 inputType은 select, autoComplete, checkcombobox 중 하나이다.
// column1의 목록 데이터는 dataList1과 바인딩 되어 있고, dataList1은 ""label, value, type"" 3개의 컬럼으로 이루어져 있다. 
// label, value는 column1의 목록 label, value와 대응되며, type 컬럼이 visible 정보를 담고 있다.
// 아래를 실행. 

gridView1.setColumnVisibleColumn(""column1"", ""Type"", false);

// 실행 결과: dataList1의 type값이 false에 해당하는 목록은 화면에 보이지 않게 된다.
//</xmp>",5.0_2.3928B.20200130.184003,5.0_5.4811B.20230203.095105
2698,method,WebSquare.uiplugin.gridView,setColumnWidth,컬럼의 width을 변경.,"colIndex	String||Number	Y	폭을 변경할 column의 index 또는 id
size	Number	Y	변경할 컬럼의 폭으로 px단위로 계산됨.",	,,,5.0_1.1274N.20140912.183941,5.0_5.4811B.20230203.095105
2699,method,WebSquare.uiplugin.gridView,setCustomFormatter,컬럼의 customFormatter 속성을 설정.,"colIndex	Number||String	Y	컬럼의 index 또는 id
customFormatter	String	Y	customFormatter 속성에 적용할 Function명",	,,,5.0_2.2692B.20170707.165017,5.0_5.4811B.20230203.095105
2700,method,WebSquare.uiplugin.gridView,setDataDragDrop,그리드의 dataDragDrop 값을 변경.,"onoff	Boolean	Y	[true,false] dataDragDrop 허용 여부",	,,gridView1.setDataDragDrop(false); // dataDragDrop 값을 false로 변경,5.0_2.3183B.20180704.104623,5.0_5.4811B.20230203.095105
